id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
3,14 Herculis b,58,8.053 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,9.207 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.883 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
24,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
28,14 Herculis b,58,8.053 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,9.207 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.883 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,51 Eridani b,97,2 Jupiters,5.21149,2015
101,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
102,55 Cancri b,41,0.8306 Jupiters,5.96,1996
103,55 Cancri c,41,0.1714 Jupiters,5.96,2004
104,55 Cancri d,41,3.878 Jupiters,5.96,2002
105,55 Cancri e,41,7.99 Earths,5.96,2004
106,55 Cancri f,41,0.141 Jupiters,5.96,2007
107,61 Virginis b,28,5.1 Earths,4.735,2009
